age_group,category,n,total,prop,fi,lb,meas,source,sex,country,old_category
"[50,55)",Cerebrovascular disease,56368,407,0.00722040874254896,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,56368,639,0.0113362191314221,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,51650,654,0.0126621490803485,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,51650,994,0.0192449177153921,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,51650,654,0.0126621490803485,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,51650,994,0.0192449177153921,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,46185,885,0.0191620656057161,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,46185,1305,0.0282559272491069,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,46185,885,0.0191620656057161,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,46185,1305,0.0282559272491069,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,42604,1129,0.0264998591681532,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,42604,1751,0.0410994272838231,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,42604,1129,0.0264998591681532,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,42604,1751,0.0410994272838231,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,36058,1390,0.0385490043818293,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,36058,2149,0.0595984247601087,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,36058,1390,0.0385490043818293,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,36058,2149,0.0595984247601087,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,28999,1582,0.0545536052967344,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,28999,2460,0.0848305113969447,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,28999,1582,0.0545536052967344,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,28999,2460,0.0848305113969447,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,42531,3422,0.0804589593472996,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,42531,5291,0.124403376360772,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,42531,3422,0.0804589593472996,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,42531,5291,0.124403376360772,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,353147,619,0.0017528111522963526,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,353147,1112,0.003148830373753706,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,353147,619,0.0017528111522963526,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,353147,1112,0.003148830373753706,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,390736,1206,0.003086482945006347,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,390736,2060,0.005272101879529913,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,390736,1206,0.003086482945006347,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,390736,2060,0.005272101879529913,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,395711,2098,0.005301849076725186,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,395711,3525,0.008908016203744653,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,395711,2098,0.005301849076725186,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,395711,3525,0.008908016203744653,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,359165,2931,0.008160594712736486,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,359165,4977,0.013857140868403102,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,359165,2931,0.008160594712736486,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,359165,4977,0.013857140868403102,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,336935,4103,0.012177422945078427,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,336935,6910,0.02050840666597415,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,336935,4103,0.012177422945078427,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,336935,6910,0.02050840666597415,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,328897,5294,0.01609622465391901,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,328897,9303,0.028285451068267572,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,328897,5294,0.01609622465391901,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,328897,9303,0.028285451068267572,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,271880,6593,0.02424966897160512,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,271880,11487,0.04225025746652935,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,271880,6593,0.02424966897160512,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,271880,11487,0.04225025746652935,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,223491,7731,0.03459199699316751,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,223491,13575,0.060740700967824204,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,223491,7731,0.03459199699316751,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,223491,13575,0.060740700967824204,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,376041,19325,0.051390672825569556,efi,1-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,376041,34794,0.09252714464646142,efi,3-year lookback,no,IMRD - THIN,All,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,376041,19325,0.051390672825569556,efi,1-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,376041,34794,0.09252714464646142,efi,3-year lookback,yes,IMRD - THIN,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,183841,276,0.00150129731670302,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,183841,515,0.00280133376123933,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,183841,276,0.00150129731670302,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,183841,515,0.00280133376123933,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,202984,509,0.0025075868048713202,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,202984,921,0.00453730343278288,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,202984,509,0.0025075868048713202,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,202984,921,0.00453730343278288,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,203977,900,0.00441226216681292,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,203977,1579,0.00774106884599734,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,203977,900,0.00441226216681292,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,203977,1579,0.00774106884599734,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,182586,1193,0.00653390730943227,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,182586,2106,0.0115342906904144,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,182586,1193,0.00653390730943227,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,182586,2106,0.0115342906904144,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,170565,1613,0.00945680532348372,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,170565,2797,0.0163984404772374,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,170565,1613,0.00945680532348372,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,170565,2797,0.0163984404772374,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,166487,2227,0.0133764197805234,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,166487,3915,0.0235153495468115,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,166487,2227,0.0133764197805234,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,166487,3915,0.0235153495468115,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,140385,2804,0.0199736439078249,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,140385,4927,0.0350963422018022,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,140385,2804,0.0199736439078249,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,140385,4927,0.0350963422018022,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,119257,3602,0.0302036777715354,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,119257,6365,0.0533721290993401,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,119257,3602,0.0302036777715354,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,119257,6365,0.0533721290993401,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,228084,11131,0.0488021956822925,efi,1-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,228084,20024,0.0877922169025447,efi,3-year lookback,no,IMRD - THIN,Female,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,228084,11131,0.0488021956822925,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,228084,20024,0.0877922169025447,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,169306,343,0.00202591756937143,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,169306,597,0.00352615973444532,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,169306,343,0.00202591756937143,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,169306,597,0.00352615973444532,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,187752,697,0.00371234394307384,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,187752,1139,0.00606651327282799,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,187752,697,0.00371234394307384,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,187752,1139,0.00606651327282799,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,191734,1198,0.00624823974881868,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,191734,1946,0.0101494779225385,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,191734,1198,0.00624823974881868,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,191734,1946,0.0101494779225385,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,176579,1738,0.00984262001710283,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,176579,2871,0.0162590115472395,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,176579,1738,0.00984262001710283,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,176579,2871,0.0162590115472395,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,166370,2490,0.0149666406203041,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,166370,4113,0.0247220051692012,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,166370,2490,0.0149666406203041,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,166370,4113,0.0247220051692012,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,162410,3067,0.0188843051536235,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,162410,5388,0.0331752970876178,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,162410,3067,0.0188843051536235,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,162410,5388,0.0331752970876178,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,131495,3789,0.0288147838320849,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,131495,6560,0.0498878284345412,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,131495,3789,0.0288147838320849,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,131495,6560,0.0498878284345412,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,104234,4129,0.0396127942897711,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,104234,7210,0.0691712876796439,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,104234,4129,0.0396127942897711,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,104234,7210,0.0691712876796439,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,147957,8194,0.0553809552775469,efi,1-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,147957,14770,0.0998263008847165,efi,3-year lookback,no,IMRD - THIN,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,147957,8194,0.0553809552775469,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,147957,14770,0.0998263008847165,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,596638,1154,0.0019341711389485752,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,610663,1844,0.003019668786220878,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,657697,2966,0.004509675428046654,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,702585,4617,0.00657144687119708,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,698925,6361,0.009101119576492471,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,574070,8332,0.01451390945355096,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,439984,10029,0.022794010691297866,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,335448,11578,0.03451503660776037,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,483547,27541,0.056956200741603194,efi,1-year lookback,no,Pharmetrics+,All,US,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,310989,638,0.00205151950712083,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,319703,937,0.00293084519069261,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,343985,1446,0.00420367167172987,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,368232,2173,0.00590117100089074,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,369056,2960,0.0080204630191624,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,305014,3944,0.012930554007357,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,240750,5090,0.0211422637590862,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,184852,5815,0.0314575985112414,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,292955,16092,0.0549299380450922,efi,1-year lookback,no,Pharmetrics+,Female,US,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,285649,516,0.00180641276531687,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,290960,907,0.0031172669782788,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,313712,1520,0.00484520834395879,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,334353,2444,0.00730963981181566,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,329869,3401,0.0103101534245413,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,269056,4388,0.0163088725023787,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,199234,4939,0.0247899454912314,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[75,80)",Cerebrovascular disease,150596,5763,0.038267948683896,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[80,100]",Cerebrovascular disease,190592,11449,0.0600707269979852,efi,1-year lookback,no,Pharmetrics+,Male,US,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,12939,0,0,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,12939,25,0.0019321431331633047,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,12939,0,0,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,12939,25,0.0019321431331633047,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,25688,45,0.0017517907194020555,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,25688,93,0.003620367486764248,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,25688,45,0.0017517907194020555,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,25688,93,0.003620367486764248,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,30010,95,0.003165611462845718,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,30010,191,0.006364545151616128,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,30010,95,0.003165611462845718,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,30010,191,0.006364545151616128,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,35548,180,0.0050635760099021045,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,35548,330,0.009283222684820524,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,35548,180,0.0050635760099021045,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[55,60)",Cerebrovascular disease,35548,330,0.009283222684820524,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,48759,333,0.006829508398449517,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,48759,646,0.013248836112307472,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,48759,333,0.006829508398449517,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[60,65)",Cerebrovascular disease,48759,646,0.013248836112307472,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,43159,459,0.010635093491508145,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,43159,898,0.020806784216501773,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,43159,459,0.010635093491508145,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[65,70)",Cerebrovascular disease,43159,898,0.020806784216501773,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,11099,196,0.01765924858095324,efi,1-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,11099,332,0.02991260473916569,efi,3-year lookback,no,UK BioBank,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,11099,196,0.01765924858095324,efi,1-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[70,75)",Cerebrovascular disease,11099,332,0.02991260473916569,efi,3-year lookback,yes,UK BioBank,All,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,7047,0,0,efi,1-year lookback,no,UK BioBank,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,7047,0,0,efi,3-year lookback,no,UK BioBank,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,7047,0,0,efi,1-year lookback,yes,UK BioBank,Female,UK,Cerebrovascular disease
"[40,45)",Cerebrovascular disease,7047,0,0,efi,3-year lookback,yes,UK BioBank,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,14464,22,0.00152101769911504,efi,1-year lookback,no,UK BioBank,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,14464,54,0.00373340707964602,efi,3-year lookback,no,UK BioBank,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,14464,22,0.00152101769911504,efi,1-year lookback,yes,UK BioBank,Female,UK,Cerebrovascular disease
"[45,50)",Cerebrovascular disease,14464,54,0.00373340707964602,efi,3-year lookback,yes,UK BioBank,Female,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,17401,45,0.00258605827251307,efi,1-year lookback,no,UK BioBank,Female,UK,Cerebrovascular disease
"[50,55)",Cerebrovascular disease,17401,87,0.00499971266019194,efi,3-year lookback,no,UK BioBank,Female,UK,Cerebrovascular disease
